clue,state
Z,ARIZONA
J,NEWJERSEY
AB,ALABAMA
BA,ALABAMA
IZ,ARIZONA
ZO,ARIZONA
IF,CALIFORNIA
FO,CALIFORNIA
RN,CALIFORNIA
DO,COLORADO
EC,CONNECTICUT
CT,CONNECTICUT
TI,CONNECTICUT
CU,CONNECTICUT
EL,DELAWARE
FL,FLORIDA
GE,GEORGIA
EO,GEORGIA
II,HAWAII
IL,ILLINOIS
LL,ILLINOIS
OI,ILLINOIS
DI,INDIANA
OW,IOWA
KE,KENTUCKY
TU,KENTUCKY
UC,KENTUCKY
CK,KENTUCKY
KY,KENTUCKY
UI,LOUISIANA
RY,MARYLAND
AC,MASSACHUSETTS
HU,MASSACHUSETTS
US,MASSACHUSETTS
ET,MASSACHUSETTS
TT,MASSACHUSETTS
TS,MASSACHUSETTS
IG,MICHIGAN
GA,MICHIGAN
IP,MISSISSIPPI
PP,MISSISSIPPI
PI,MISSISSIPPI
UR,MISSOURI
EB,NEBRASKA
BR,NEBRASKA
EV,NEVADA
WH,NEWHAMPSHIRE
MP,NEWHAMPSHIRE
PS,NEWHAMPSHIRE
WJ,NEWJERSEY
JE,NEWJERSEY
RS,NEWJERSEY
EY,NEWJERSEY
WM,NEWMEXICO
ME,NEWMEXICO
XI,NEWMEXICO
OH,OHIO
OK,OKLAHOMA
KL,OKLAHOMA
EG,OREGON
GO,OREGON
PE,PENNSYLVANIA
SY,PENNSYLVANIA
LV,PENNSYLVANIA
RH,RHODEISLAND
OD,RHODEISLAND
EI,RHODEISLAND
SL,RHODEISLAND
EE,TENNESSEE
XA,TEXAS
VE,VERMONT
RM,VERMONT
GT,WASHINGTON
TO,WASHINGTON
WE,WESTVIRGINIA
ST,WESTVIRGINIA
TV,WESTVIRGINIA
WI,WISCONSIN
SC,WISCONSIN
LAB,ALABAMA
ABA,ALABAMA
BAM,ALABAMA
AMA,ALABAMA
LAS,ALASKA
ARI,ARIZONA
RIZ,ARIZONA
IZO,ARIZONA
ZON,ARIZONA
ONA,ARIZONA
ARK,ARKANSAS
RKA,ARKANSAS
CAL,CALIFORNIA
ALI,CALIFORNIA
LIF,CALIFORNIA
IFO,CALIFORNIA
FOR,CALIFORNIA
ORN,CALIFORNIA
RNI,CALIFORNIA
COL,COLORADO
OLO,COLORADO
ORA,COLORADO
RAD,COLORADO
ADO,COLORADO
ONN,CONNECTICUT
NEC,CONNECTICUT
ECT,CONNECTICUT
CTI,CONNECTICUT
TIC,CONNECTICUT
ICU,CONNECTICUT
CUT,CONNECTICUT
DEL,DELAWARE
ELA,DELAWARE
LAW,DELAWARE
WAR,DELAWARE
ARE,DELAWARE
FLO,FLORIDA
ORI,FLORIDA
RID,FLORIDA
GEO,GEORGIA
EOR,GEORGIA
ORG,GEORGIA
